transition,label,sample_idx,gold,baseline_prediction,sircl_prediction,baseline_correct,sircl_correct,baseline_radius_mean,sircl_radius_mean,baseline_diversity_mean,sircl_diversity_mean,baseline_path_length,sircl_path_length,baseline_raw_output,sircl_raw_output
regressed,Regressed with +SIRCL,173,18000.0,18000.0,9000.0,True,False,9.718350410461426,8.157376289367676,15.466384887695312,13.51042366027832,64.7754135131836,53.71013641357422,The answer is: 18000,The answer is: 9000
regressed,Regressed with +SIRCL,975,20.0,20.0,10.0,True,False,10.864870071411133,9.240175247192383,16.937654495239258,15.225541114807129,80.33602142333984,62.02565383911133,The answer is: 20,The answer is: 10
regressed,Regressed with +SIRCL,870,40.0,40.0,60.0,True,False,10.710431098937988,9.054422378540039,16.89422607421875,15.011515617370605,78.74313354492188,55.971412658691406,The answer is: 40,The answer is: 60
regressed,Regressed with +SIRCL,1038,4.0,4.0,5.33,True,False,9.012898445129395,7.333693981170654,14.70153522491455,12.103622436523438,67.9814682006836,43.776695251464844,The answer is: 4,The answer is: 5.33
regressed,Regressed with +SIRCL,597,90.0,90.0,40.0,True,False,10.482245445251465,8.801033973693848,16.701128005981445,14.697003364562988,77.66411590576172,58.691349029541016,The answer is: 90,The answer is: 40
regressed,Regressed with +SIRCL,281,2450.0,2450.0,2050.0,True,False,11.631926536560059,9.896720886230469,18.649864196777344,16.231950759887695,82.05873107910156,63.367523193359375,The answer is: 2450,The answer is: 2050
stable_wrong,Both wrong,542,7.0,6.5,6.0,False,False,15.53201961517334,11.557641983032227,24.177709579467773,18.668180465698242,116.84017944335938,80.37602233886719,The answer is: 6.5,The answer is: 6
stable_wrong,Both wrong,1143,300.0,360.0,360.0,False,False,15.32557201385498,8.118943214416504,24.223262786865234,13.726982116699219,90.68763732910156,50.532920837402344,The answer is: 360,The answer is: 360
stable_wrong,Both wrong,561,180.0,163.33,163.33,False,False,14.963372230529785,10.743980407714844,23.207279205322266,17.052080154418945,121.08090209960938,73.92997741699219,The answer is: 163.33,The answer is: 163.33
stable_wrong,Both wrong,171,1210.0,1070.0,1220.0,False,False,14.944254875183105,10.379005432128906,23.05829429626465,16.375242233276367,96.75677490234375,69.34793090820312,The answer is: 1070,The answer is: 1220
stable_wrong,Both wrong,1297,60.0,300.0,460.0,False,False,14.818238258361816,11.962185859680176,23.111099243164062,19.37872886657715,102.73736572265625,78.4054183959961,The answer is: 300,The answer is: 460
stable_wrong,Both wrong,1275,16.0,16.2,17.0,False,False,14.817506790161133,9.296409606933594,23.319435119628906,15.238140106201172,117.66936492919922,63.6184196472168,The answer is: 16.2,The answer is: 17
stable_wrong,Both wrong,918,56.0,46.0,46.0,False,False,14.762266159057617,8.334395408630371,22.59259033203125,13.937712669372559,112.50125122070312,56.1305046081543,The answer is: 46,The answer is: 46
stable_wrong,Both wrong,67,595.0,555.0,545.0,False,False,14.743277549743652,9.524213790893555,22.51707649230957,15.917970657348633,110.91567993164062,73.7264404296875,The answer is: 555,The answer is: 545
stable_wrong,Both wrong,566,10.0,10.33,10.33,False,False,14.693239212036133,9.659956932067871,22.201290130615234,16.02044677734375,107.3304672241211,73.4151840209961,The answer is: 10.33,The answer is: 10.33
stable_wrong,Both wrong,356,21.0,1.0,27.0,False,False,14.67671012878418,10.252435684204102,23.476762771606445,17.121929168701172,117.5622329711914,71.69733428955078,The answer is: 1,The answer is: 27
